% fringe_data_nov02.txt
%
% Reformated but otherwise unadjusted version of Margie Weiler's
% 19 November 2002 fringe model parameters.  This is based on
% the September 2002 fringe data except Margie has added amplitude
% and phase values for previously "bad" channels.
%
% Last updated: Scott Hannon, 20 November 2002
%
% ID  LMID M  ind   freq     amplitude      phase        period        beta
%---- ---- -- --- -------- ------------- ------------- ------------- ---------
   63 2315 12  68  664.689 1.1313549e-02 7.0839556e+02 8.5100000e-01 9.200e-05
   64 2314 12  67  664.939 1.1132427e-02 7.0838171e+02 8.5100000e-01 9.200e-05
   65 2313 12  66  665.190 1.1132427e-02 7.0836452e+02 8.5100000e-01 9.200e-05
   66 2312 12  65  665.441 8.2284640e-03 7.0835950e+02 8.5100000e-01 9.200e-05
   67 2311 12  64  665.692 7.3186510e-03 7.0833566e+02 8.5100000e-01 9.200e-05
   68 2310 12  63  665.943 1.2399358e-02 7.0832766e+02 8.5100000e-01 9.200e-05
   69 2309 12  62  666.194 8.5920790e-03 7.0833667e+02 8.5100000e-01 9.200e-05
   70 2308 12  61  666.446 1.6451330e-02 7.0831651e+02 8.5100000e-01 9.200e-05
   71 2307 12  60  666.698 1.1313549e-02 7.0830964e+02 8.5100000e-01 9.200e-05
   72 2306 12  59  666.950 6.9544150e-03 7.0830547e+02 8.5100000e-01 9.200e-05
   73 2305 12  58  667.202 1.3483585e-02 7.0831196e+02 8.5100000e-01 9.200e-05
   74 2304 12  57  667.454 5.6781880e-03 7.0831708e+02 8.5100000e-01 9.200e-05
   75 2303 12  56  667.707 3.3022550e-03 7.0829372e+02 8.5100000e-01 9.200e-05
   76 2302 12  55  667.959 5.1342670e-03 7.0825990e+02 8.5100000e-01 9.200e-05
   77 2301 12  54  668.212 2.3315950e-03 7.0822665e+02 8.5100000e-01 9.200e-05
   78 2300 12  53  668.466 1.4671650e-03 7.0825679e+02 8.5100000e-01 9.200e-05
   79 2299 12  52  668.719 1.5835740e-03 7.0829177e+02 8.5100000e-01 9.200e-05
   80 2298 12  51  668.972 3.2880280e-03 7.0827294e+02 8.5100000e-01 9.200e-05
   81 2297 12  50  669.226 4.8882300e-03 7.0830230e+02 8.5100000e-01 9.200e-05
   82 2296 12  49  669.480 4.7994060e-03 7.0831427e+02 8.5100000e-01 9.200e-05
   83 2295 12  48  669.734 3.6352560e-03 7.0832601e+02 8.5100000e-01 9.200e-05
   84 2294 12  47  669.989 3.8708150e-03 7.0839337e+02 8.5100000e-01 9.200e-05
   85 2293 12  46  670.243 5.5022640e-03 7.0837990e+02 8.5100000e-01 9.200e-05
   86 2292 12  45  670.498 7.9246320e-03 7.0838544e+02 8.5100000e-01 9.200e-05
   87 2291 12  44  670.753 9.5342520e-03 7.0838893e+02 8.5100000e-01 9.200e-05
   88 2290 12  43  671.008 1.2344726e-02 7.0839919e+02 8.5100000e-01 9.200e-05
   89 2289 12  42  671.264 1.4691629e-02 7.0844815e+02 8.5100000e-01 9.200e-05
   90 2288 12  41  671.519 3.3022550e-03 7.0841604e+02 8.5100000e-01 9.200e-05
   91 2287 12  40  671.775 4.9479360e-03 7.0830771e+02 8.5100000e-01 9.200e-05
   92 2286 12  39  672.031 6.0430470e-03 7.0841867e+02 8.5100000e-01 9.200e-05
   93 2285 12  38  672.287 5.4956920e-03 7.0827979e+02 8.5100000e-01 9.200e-05
   94 2284 12  37  672.544 3.3022550e-03 7.0843284e+02 8.5100000e-01 9.200e-05
   95 2283 12  36  672.800 8.0465900e-03 7.0826635e+02 8.5100000e-01 9.200e-05
   96 2282 12  35  673.057 1.0226154e-02 7.0830769e+02 8.5100000e-01 9.200e-05
   97 2281 12  34  673.314 1.1675662e-02 7.0832085e+02 8.5100000e-01 9.200e-05
   98 2280 12  33  673.572 5.3131510e-03 7.0843743e+02 8.5100000e-01 9.200e-05
   99 2279 12  32  673.829 7.1365550e-03 7.0842869e+02 8.5100000e-01 9.200e-05
  100 2278 12  31  674.087 1.1398564e-02 7.0829324e+02 8.5100000e-01 9.200e-05
  101 2277 12  30  674.345 1.2058162e-02 7.0841362e+02 8.5100000e-01 9.200e-05
  102 2276 12  29  674.603 1.4079647e-02 7.0834683e+02 8.5100000e-01 9.200e-05
  103 2275 12  28  674.861 3.6682750e-03 7.0841219e+02 8.5100000e-01 9.200e-05
  104 2274 12  27  675.120 1.3255665e-02 7.0821908e+02 8.5100000e-01 9.200e-05
  105 2273 12  26  675.378 1.1529317e-02 7.0822589e+02 8.5100000e-01 9.200e-05
  106 2272 12  25  675.637 1.0659642e-02 7.0824305e+02 8.5100000e-01 9.200e-05
  107 2271 12  24  675.896 2.7528890e-03 7.0841411e+02 8.5100000e-01 9.200e-05
